%GrBLDC3v1 P&P
%2019NOV17
%Orient PCB with XXY stepper connectors closest to user 
%unit mm
%large tip on nozzle 1
%extra small tip on nozzle 2

%,OriginOffsetCommand,X,Y,,
65535,0,0,0,,

%Tray
%,1=StackOffsetCommand,Stack,X,Y,Comment
%,2=FeedSpacingCommand,Stack,FeedSpacing,
65535,1,0,0,0,
65535,2,0,18,
%GrBLDC3v1 might use tray for A4910

%8mm
65535,1,1,0,0,56kR0603
65535,2,1,4,

65535,1,2,0,0,0R09R1206
65535,2,2,4,

65535,1,3,0,0,680pC0603
65535,2,3,4,

65535,1,4,0,0,1kR0603
65535,2,4,4,

65535,1,5,0,0,220nC0603
65535,2,5,4,

65535,1,6,0,0,1R47kR0603
65535,2,6,4,

65535,1,7,0,0,10uC1206
65535,2,7,4,

65535,1,8,0,0,47R0603
65535,2,8,4,

65535,1,9,0,0,33nC0603
65535,2,9,4,

65535,1,10,0,0,470kR0603
65535,2,10,4,

65535,1,11,0,0,24k3R0603
65535,2,11,4,

65535,1,12,0,0,0R005R1206
65535,2,12,4,

65535,1,13,0,0,ZenerSOD123
65535,2,13,4,

65535,1,14,0,0,12pC0603
65535,2,14,4,

65535,1,15,0,0,LM4040SOT23
65535,2,15,4,

65535,1,16,0,0,Crystal16MHz
65535,2,16,4,

%65535,1,17,0,0,None
%65535,2,17,4,

%65535,1,18,0,0,None
%65535,2,18,4,

%65535,1,19,0,0,None
%65535,2,19,4,

%65535,1,20,0,0,None
%65535,2,20,4,

%65535,1,21,0,0,None
%65535,2,21,4,

%12mm
%65535,1,22,0,0,None
%65535,2,22,0,

%65535,1,23,0,0,None
%65535,2,23,0,

%65535,1,24,0,0,None
%65535,2,24,0,

65535,1,25,4,0,IRF5406
65535,2,25,8,

%16mm
65535,1,26,0,0,ATMEGA64M1TQFP
65535,2,26,12,

65535,1,27,0,0,DRV8818TSSOP
65535,2,27,12,

%,JointedBoardCommand,X(mm),Y(mm),Skip,NA,NA,NA
% Example 65535,3,68.44,0,0,0,0,0,
% GrBLDC isnt panelized

%Placement speed 0,Percent/10,0,0,0,0,0,0,
%Speed 90 Percent
0,9,0,0,0,0,0,0,

%Part Number,Nozzle,Reel,X(mm),Y(mm),Rotation,Height(mm),Skip,Reference,Comment
36,2,1,9.41,10.29,90,0.55,0,R5,56k-R_0603
37,2,1,12.21,10.29,90,0.55,0,R9,56k-R_0603
38,2,1,47.89,10.31,90,0.55,0,R3,56k-R_0603
39,2,1,50.55,10.31,90,0.55,0,R7,56k-R_0603
40,2,1,28.28,44.61,0,0.55,0,R10,56k-R_0603
41,2,1,28.3,47.27,0,0.55,0,R6,56k-R_0603
42,2,1,41.7,65.79,0,0.55,0,R22,56k-R_0603
43,2,1,29.6,68.77,90,0.55,0,R28,56k-R_0603
44,2,1,49.19,70.01,90,0.55,0,R21,56k-R_0603
45,2,1,41.02,70.2,90,0.55,0,R66,56k-R_0603
46,2,1,9.01,74.19,90,0.55,0,R24,56k-R_0603
47,2,14,44.39,59.38,45,0.8,0,C36,12p-C_0603
48,2,14,43.38,63.84,90,0.8,0,C39,12p-C_0603
49,2,3,28.8,8.6,90,0.9,0,C7,680p-C_0603
50,2,3,31.88,8.62,90,0.9,0,C11,680p-C_0603
51,2,3,12.35,8.66,90,0.9,0,C12,680p-C_0603
52,2,3,9.29,8.66,90,0.9,0,C8,680p-C_0603
53,2,3,50.75,8.68,90,0.9,0,C10,680p-C_0603
54,2,3,47.75,8.68,90,0.9,0,C6,680p-C_0603
55,2,3,26.77,44.45,0,0.9,0,C13,680p-C_0603
56,2,3,26.77,47.42,0,0.9,0,C9,680p-C_0603
57,2,3,30.57,89.98,0,0.9,0,C86,680p-C_0603
58,2,3,16.32,90.43,0,0.9,0,C85,680p-C_0603
59,2,3,1.63,90.71,0,0.9,0,C84,680p-C_0603
60,2,6,10.68,39.75,90,0.55,0,R53,1.47k-R_0603
61,2,6,21.84,35.16,0,0.55,1,R62,DNP-R_0603
62,2,6,10.93,42.71,0,0.55,0,R34,1.47k-R_0603
63,2,6,13.73,42.72,0,0.55,0,R33,1.47k-R_0603
64,2,6,16.52,42.73,0,0.55,0,R29,1.47k-R_0603
65,2,6,54.86,46.36,90,0.55,0,R20,1.47k-R_0603
66,2,6,20.11,50.3,0,0.55,0,R84,1.47k-R_0603
67,2,6,8.64,53.22,0,0.55,0,R61,1.47k-R_0603
68,2,6,27.85,54.24,0,0.55,0,R2,1.47k-R_0603
69,2,6,29.39,55.11,0,0.55,0,R1,1.47k-R_0603
70,2,6,54.86,57.86,90,0.55,1,R65,DNP-R_0603
71,2,6,54.86,59.57,90,0.55,0,R82,1.47k-R_0603
72,2,6,49.23,65.42,90,0.55,1,R35,DNP-R_0603
73,2,6,24.44,66.77,90,0.55,0,R79,1.47k-R_0603
74,2,6,9.04,67.92,90,0.55,0,R77,1.47k-R_0603
75,2,6,36.68,72.05,90,0.55,0,R81,1.47k-R_0603
76,2,6,49.23,74.74,90,0.55,1,R36,DNP-R_0603
77,2,6,51.88,82.3,90,0.55,1,R37,DNP-R_0603
78,2,6,31.02,87.68,90,0.55,0,R80,1.47k-R_0603
79,2,6,16.74,88.16,90,0.55,0,R78,1.47k-R_0603
80,2,6,2.3,88.5,90,0.55,0,R76,1.47k-R_0603
81,2,5,16.66,11.13,90,0.9,0,C4,220n-C_0603
82,2,5,36.41,11.47,90,0.9,0,C3,220n-C_0603
83,2,5,55.7,11.7,90,0.9,0,C2,220n-C_0603
84,2,5,5.02,19.1,0,0.9,0,C38,220n-C_0603
85,2,5,43.37,19.28,0,0.9,0,C67,220n-C_0603
86,2,5,24.22,19.33,0,0.9,0,C27,220n-C_0603
87,2,5,17.72,19.36,0,0.9,0,C28,220n-C_0603
88,2,5,36.8,19.68,0,0.9,0,C37,220n-C_0603
89,2,5,55.78,19.71,0,0.9,0,C26,220n-C_0603
90,2,5,28.1,23.6,90,0.9,0,C21,220n-C_0603
91,2,5,47.43,23.68,90,0.9,0,C19,220n-C_0603
92,2,5,9.02,23.71,90,0.9,0,C23,220n-C_0603
93,2,5,12.79,24.03,0,0.9,0,C16,220n-C_0603
94,2,5,31.88,24.04,0,0.9,0,C15,220n-C_0603
95,2,5,11.2,24.04,0,0.9,0,C22,220n-C_0603
96,2,5,30.36,24.05,0,0.9,0,C20,220n-C_0603
97,2,5,49.62,24.11,0,0.9,0,C18,220n-C_0603
98,2,5,51.04,24.12,0,0.9,0,C14,220n-C_0603
99,2,5,37.43,39.53,90,0.9,0,C40,220n-C_0603
100,2,5,29.65,39.71,0,0.9,0,C5,220n-C_0603
101,2,5,54.1,44.07,0,0.9,0,C72,220n-C_0603
102,2,5,42.23,44.28,90,0.9,0,C17,220n-C_0603
103,2,5,42.23,45.73,90,0.9,0,C24,220n-C_0603
104,2,5,41.87,47.86,0,0.9,0,C25,220n-C_0603
105,2,5,7.61,49.97,90,0.9,0,C58,220n-C_0603
106,2,5,37.47,51.97,90,0.9,0,C29,220n-C_0603
107,2,5,26.34,54.25,0,0.9,0,C1,220n-C_0603
108,2,5,35.45,55.01,90,0.9,0,C82,220n-C_0603
109,2,5,35.43,56.63,90,0.9,0,C80,220n-C_0603
110,2,5,8.51,58.17,0,0.9,0,C88,220n-C_0603
111,2,5,49.05,59.31,90,0.9,0,C30,220n-C_0603
112,2,5,9.14,61.09,0,0.9,0,C73,220n-C_0603
113,2,5,7.75,61.09,0,0.9,0,C74,220n-C_0603
114,2,5,49.07,62.31,90,0.9,0,C33,220n-C_0603
115,2,5,10.75,64.01,0,0.9,0,C43,220n-C_0603
116,2,5,43.12,65.94,0,0.9,0,C87,220n-C_0603
117,2,5,49.06,66.92,90,0.9,0,C31,220n-C_0603
118,2,5,6.29,67.89,90,0.9,0,C77,220n-C_0603
119,2,5,37.27,69.84,0,0.9,0,C41,220n-C_0603
120,2,5,49.07,71.55,90,0.9,0,C34,220n-C_0603
121,2,5,49.07,76.37,90,0.9,0,C32,220n-C_0603
122,2,5,49.07,79.44,90,0.9,0,C35,220n-C_0603
123,2,5,51.87,83.82,90,0.9,0,C42,220n-C_0603
124,2,10,41.01,77.21,90,0.55,0,R49,470k-R_0603
125,2,10,28.91,77.46,90,0.55,0,R45,470k-R_0603
126,2,10,13.55,77.99,90,0.55,0,R40,470k-R_0603
127,2,10,31.24,85.41,0,0.55,0,R51,470k-R_0603
128,2,10,2.64,85.77,0,0.55,0,R43,470k-R_0603
129,2,10,17.02,85.92,0,0.55,0,R50,470k-R_0603
130,2,11,25.6,63.06,0,0.55,0,R69,24.3k-R_0603
131,2,11,24.45,65.14,90,0.55,0,R74,24.3k-R_0603
132,2,11,9.04,69.48,90,0.55,0,R73,24.3k-R_0603
133,2,11,9.02,71.06,90,0.55,0,R67,24.3k-R_0603
134,2,11,39.33,71.82,90,0.55,0,R75,24.3k-R_0603
135,2,11,39.34,73.39,90,0.55,0,R71,24.3k-R_0603
136,2,7,3,19.96,0,1.8,0,C61,10u-C_1206
137,2,7,22,20.24,0,1.8,0,C52,10u-C_1206
138,2,7,40.61,20.28,0,1.8,0,C62,10u-C_1206
139,2,7,44.23,50.91,0,1.8,0,C64,10u-C_1206
140,2,7,6.73,57.28,0,1.8,0,C89,10u-C_1206
141,2,7,6.05,64.86,0,1.8,0,C49,10u-C_1206
142,2,7,8.86,64.86,0,1.8,0,C44,10u-C_1206
143,2,7,37.8,86.99,90,1.8,0,C59,10u-C_1206
144,2,7,23.47,87.24,90,1.8,0,C53,10u-C_1206
145,2,7,9.04,87.24,90,1.8,0,C66,10u-C_1206
146,2,7,43.43,89.03,90,1.8,0,C56,10u-C_1206
147,2,7,37.85,89.63,90,1.8,0,C60,10u-C_1206
148,2,7,23.47,89.73,90,1.8,0,C65,10u-C_1206
149,2,7,9.04,89.78,90,1.8,0,C54,10u-C_1206
150,2,7,44.7,92.56,0,1.8,0,C55,10u-C_1206
151,2,12,33.78,88.51,0,0.65,0,R58,0.005-R_1206
152,2,12,19.56,88.66,0,0.65,0,R57,0.005-R_1206
153,2,12,5.18,88.71,0,0.65,0,R38,0.005-R_1206
154,2,2,18.1,15.14,0,0.75,0,R13,0R09-R_1206
155,2,2,4.6,15.24,0,0.75,0,R17,0R09-R_1206
156,2,2,37.29,15.36,0,0.75,0,R12,0R09-R_1206
157,2,2,23.8,15.42,0,0.75,0,R16,0R09-R_1206
158,2,2,56.27,15.45,0,0.75,0,R11,0R09-R_1206
159,2,2,42.95,15.5,0,0.75,0,R15,0R09-R_1206
160,2,2,33.3,39.1,90,0.75,0,R14,0R09-R_1206
161,2,2,33.35,52.4,90,0.75,0,R18,0R09-R_1206
162,2,13,3.25,31.91,180,1.05,0,D3,6V_Zener-D_SOD-123
163,2,13,6.6,72.01,180,1.05,0,D2,6V_Zener-D_SOD-123

%Slow down for these last parts
%Speed, Percent/10,NA,NA,NA,NA,NA,NA,
0,3,0,0,0,0,0,0,

%Part Number,Nozzle,Reel,X(mm),Y(mm),Rotation,Height(mm),Skip,Reference,Comment
164,2,16,43.31,61.22,45,0.4,0,Y1,16M-SMD_2016
165,2,15,55.25,39.1,0,1,0,D1,LM4040-SOT-23
166,1,25,12.24,83.53,180,0.85,0,Q1,IRF5406-IRF5406
167,1,25,6.4,81.19,0,0.85,0,Q2,IRF5406-IRF5406
168,1,25,26.52,83.2,180,0.85,0,Q3,IRF5406-IRF5406
169,1,25,20.83,80.89,0,0.85,0,Q4,IRF5406-IRF5406
170,1,25,40.84,83.02,180,0.85,0,Q5,IRF5406-IRF5406
171,1,25,35,80.69,0,0.85,0,Q6,IRF5406-IRF5406
172,1,27,49.3,17.07,180,1.2,0,U1,DRV8818-DRV8818
173,1,27,30.18,17.07,180,1.2,0,U2,DRV8818-DRV8818
174,1,27,10.97,17.07,180,1.2,0,U3,DRV8818-DRV8818
175,1,27,34.96,46.09,90,1.2,0,U4,DRV8818-DRV8818
176,1,26,35.56,63.04,180,1.2,0,IC1,ATmega64M1-TQFP-32_7x7mm
177,1,0,16.79,60.7,90,1.6,1,U5,A4910-A4910-LQFP_48


