%GrBLDC3v1 P&P
%2019NOV17
%Orient PCB with XXY stepper connectors closest to user 
%unit mm
%large tip on nozzle 1
%extra small tip on nozzle 2

%,OriginOffsetCommand,X,Y,,
65535,0,0,0,,

%Tray
%,1=StackOffsetCommand,Stack,X,Y,Comment
%,2=FeedSpacingCommand,Stack,FeedSpacing,
65535,1,0,-3.25,3.25,
65535,2,0,18,
%GrBLDC3v1 might use tray for A4910

%8mm
65535,1,1,0.05,-0.3,56kR0603
65535,2,1,4,

65535,1,2,0.6,-0.3,0R09R1206
65535,2,2,4,

65535,1,3,0.06,-0.3,680pC0603
65535,2,3,4,

65535,1,4,0,-0.3,1kR0603
65535,2,4,4,

65535,1,5,0.1,-0.3,220nC0603
65535,2,5,4,

65535,1,6,0.1,-0.3,1R47kR0603
65535,2,6,4,

65535,1,7,0.04,-0.5,10uC1206
65535,2,7,4,

65535,1,8,0,-0.3,47R0603
65535,2,8,4,

65535,1,9,0.05,-0.4,33nC0603
65535,2,9,4,

65535,1,10,0.06,-0.3,470kR0603
65535,2,10,4,

65535,1,11,0.06,-0.3,24k3R0603
65535,2,11,4,


65535,1,12,0.1,-0.3,0R005R1206
65535,2,12,4,

65535,1,13,0.1,-0.3,ZenerSOD123
65535,2,13,4,

65535,1,14,0.05,-0.3,12pC0603
65535,2,14,4,

65535,1,15,0.1,-0.3,LM4040SOT23
65535,2,15,4,


65535,1,16,0.1,-0.3,Crystal16MHz
65535,2,16,4,

%65535,1,17,0,0,None
%65535,2,17,4,

%65535,1,18,0,0,None
%65535,2,18,4,

%65535,1,19,0,0,None
%65535,2,19,4,

%65535,1,20,0,0,None
%65535,2,20,4,

%65535,1,21,0,0,None
%65535,2,21,4,

%12mm
%65535,1,22,0,0,None
%65535,2,22,0,

%65535,1,23,0,0,None
%65535,2,23,0,

%65535,1,24,0,0,None
%65535,2,24,0,

65535,1,25,4.2,-0.5,IRF5406
65535,2,25,8,

%16mm
65535,1,26,0.4,-0.3,ATMEGA64M1TQFP
65535,2,26,12,

65535,1,27,0.1,-0.3,DRV8818TSSOP
65535,2,27,12,

%,JointedBoardCommand,X(mm),Y(mm),Skip,NA,NA,NA
% Example 65535,3,68.44,0,0,0,0,0,
% GrBLDC isnt panelized

%Placement speed 0,Percent/10,0,0,0,0,0,0,
%Speed 80 Percent
0,7,0,0,0,0,0,0,

%Part Number,Nozzle,Reel,X(mm),Y(mm),Rotation,Height(mm),Skip,Reference,Comment
72,2,6,49.13,65.17,90,0.55,1,R35,DNP-R_0603
73,2,6,24.34,66.51,90,0.55,0,R79,1.47k-R_0603
74,2,6,8.98,67.67,90,0.55,0,R77,1.47k-R_0603
75,2,6,36.58,71.8,90,0.55,0,R81,1.47k-R_0603
76,2,6,49.13,74.49,90,0.55,1,R36,DNP-R_0603
77,2,6,51.78,82.05,90,0.55,1,R37,DNP-R_0603
78,2,6,30.92,87.43,90,0.55,0,R80,1.47k-R_0603
79,2,6,16.64,87.91,90,0.55,0,R78,1.47k-R_0603
80,2,6,2.2,88.25,90,0.55,0,R76,1.47k-R_0603
81,2,5,16.56,10.83,90,0.9,0,C4,220n-C_0603
82,2,5,36.31,11.17,90,0.9,0,C3,220n-C_0603
83,2,5,55.6,11.4,90,0.9,0,C2,220n-C_0603
84,2,5,4.92,18.9,0,0.9,0,C38,220n-C_0603
85,2,5,43.24,18.98,0,0.9,0,C67,220n-C_0603
86,2,5,24.12,19.03,0,0.9,0,C27,220n-C_0603
87,2,5,17.61,19.06,0,0.9,0,C28,220n-C_0603
88,2,5,36.7,19.37,0,0.9,0,C37,220n-C_0603
89,2,5,55.68,19.4,0,0.9,0,C26,220n-C_0603
90,2,5,28,23.3,90,0.9,0,C21,220n-C_0603
91,2,5,47.33,23.38,90,0.9,0,C19,220n-C_0603
92,2,5,8.92,23.41,90,0.9,0,C23,220n-C_0603
93,2,5,12.69,23.73,0,0.9,0,C16,220n-C_0603
94,2,5,31.78,23.74,0,0.9,0,C15,220n-C_0603
95,2,5,11.1,23.74,0,0.9,0,C22,220n-C_0603
96,2,5,30.26,23.75,0,0.9,0,C20,220n-C_0603
97,2,5,49.52,23.81,0,0.9,0,C18,220n-C_0603/
98,2,5,50.94,23.82,0,0.9,0,C14,220n-C_0603
99,2,5,37.33,39.23,90,0.9,0,C40,220n-C_0603
100,2,5,29.55,39.41,0,0.9,0,C5,220n-C_0603
101,2,5,54,43.77,0,0.9,0,C72,220n-C_0603
102,2,5,42.13,43.98,90,0.9,0,C17,220n-C_0603
103,2,5,42.13,45.43,90,0.9,0,C24,220n-C_0603
104,2,5,41.77,47.56,0,0.9,0,C25,220n-C_0603
105,2,5,7.51,49.67,90,0.9,0,C58,220n-C_0603
106,2,5,37.37,51.67,90,0.9,0,C29,220n-C_0603
107,2,5,26.24,53.95,0,0.9,0,C1,220n-C_0603
108,2,5,35.34,54.71,90,0.9,0,C82,220n-C_0603
109,2,5,35.33,56.33,90,0.9,0,C80,220n-C_0603
110,2,5,8.41,57.87,0,0.9,0,C88,220n-C_0603
111,2,5,48.95,59.01,90,0.9,0,C30,220n-C_0603
112,2,5,9.04,60.79,0,0.9,0,C73,220n-C_0603
113,2,5,7.65,60.79,0,0.9,0,C74,220n-C_0603
114,2,5,48.97,62.01,90,0.9,0,C33,220n-C_0603
115,2,5,10.65,63.73,0,0.9,0,C43,220n-C_0603
116,2,5,43.02,65.64,0,0.9,0,C87,220n-C_0603
117,2,5,48.96,66.62,90,0.9,0,C31,220n-C_0603
118,2,5,6.19,67.58,90,0.9,0,C77,220n-C_0603
119,2,5,37.16,69.53,0,0.9,0,C41,220n-C_0603
120,2,5,48.97,71.25,90,0.9,0,C34,220n-C_0603
121,2,5,48.97,76.07,90,0.9,0,C32,220n-C_0603
122,2,5,48.97,79.14,90,0.9,0,C35,220n-C_0603
123,2,5,51.77,83.52,90,0.9,0,C42,220n-C_0603
124,2,10,40.86,76.86,90,0.55,0,R49,470k-R_0603
125,2,10,28.76,77.11,90,0.55,0,R45,470k-R_0603
126,2,10,13.44,77.64,90,0.55,0,R40,470k-R_0603
127,2,10,31.14,85.21,0,0.55,0,R51,470k-R_0603
128,2,10,2.54,85.57,0,0.55,0,R43,470k-R_0603
129,2,10,16.92,85.72,0,0.55,0,R50,470k-R_0603
130,2,11,25.5,62.86,0,0.55,0,R69,24.3k-R_0603
131,2,11,24.35,64.84,90,0.55,0,R74,24.3k-R_0603
132,2,11,8.98,69.23,90,0.55,0,R73,24.3k-R_0603
133,2,11,8.92,70.86,90,0.55,0,R67,24.3k-R_0603
134,2,11,39.23,71.62,90,0.55,0,R75,24.3k-R_0603
135,2,11,39.24,73.19,90,0.55,0,R71,24.3k-R_0603
136,2,7,2.8,19.85,0,1.8,0,C61,10u-C_1206
137,2,7,21.8,20.14,0,1.8,0,C52,10u-C_1206
138,2,7,40.4,20.18,0,1.8,0,C62,10u-C_1206
139,2,7,44.1,50.81,0,1.8,0,C64,10u-C_1206
140,2,7,6.7,57.23,0,1.8,0,C89,10u-C_1206
141,2,7,6.05,64.76,0,1.8,0,C49,10u-C_1206
142,2,7,8.85,64.76,0,1.8,0,C44,10u-C_1206
143,2,7,37.8,86.89,90,1.8,0,C59,10u-C_1206
144,2,7,23.47,87.14,90,1.8,0,C53,10u-C_1206
145,2,7,9.04,87.14,90,1.8,0,C66,10u-C_1206
146,2,7,43.43,88.93,90,1.8,0,C56,10u-C_1206
147,2,7,37.84,89.53,90,1.8,0,C60,10u-C_1206
148,2,7,23.47,89.63,90,1.8,0,C65,10u-C_1206
149,2,7,9.04,89.68,90,1.8,0,C54,10u-C_1206
150,2,7,44.7,92.46,0,1.8,0,C55,10u-C_1206
151,2,12,33.78,88.51,0,0.65,0,R58,0.005-R_1206
152,2,12,19.56,88.66,0,0.65,0,R57,0.005-R_1206
153,2,12,5.18,88.71,0,0.65,0,R38,0.005-R_1206
154,2,2,18.1,14.95,0,0.75,0,R13,0R09-R_1206
155,2,2,4.69,14.95,0,0.75,0,R17,0R09-R_1206
156,2,2,37.27,15.05,0,0.75,0,R12,0R09-R_1206
157,2,2,23.85,15.05,0,0.75,0,R16,0R09-R_1206
158,2,2,56.2,15.1,0,0.75,0,R11,0R09-R_1206
159,2,2,43,15.1,0,0.75,0,R15,0R09-R_1206
160,2,2,33.3,39.09,90,0.75,0,R14,0R09-R_1206
161,2,2,33.34,52.4,90,0.75,0,R18,0R09-R_1206
162,2,13,3.25,31.86,135,1.04,0,D3,6V_Zener-D_SOD-123
163,2,13,6.6,71.91,135,1.04,0,D2,6V_Zener-D_SOD-123
%Slow down for these last parts
%Speed, Percent/10,NA,NA,NA,NA,NA,NA,
0,3,0,0,0,0,0,0,


%Part Number,Nozzle,Reel,X(mm),Y(mm),Rotation,Height(mm),Skip,Reference,Comment
164,2,16,43.45,61.08,-45,0.4,0,Y1,16M-SMD_2016
165,2,15,55.35,38.79,-90,1,0,D1,LM4040-SOT-23
166,1,25,12.38,82.08,90,0.85,0,Q1,IRF5406-IRF5406
167,1,25,6.3,82.3,-90,0.85,0,Q2,IRF5406-IRF5406
168,1,25,26.67,81.95,90,0.85,0,Q3,IRF5406-IRF5406
169,1,25,20.7,82.14,-90,0.85,0,Q4,IRF5406-IRF5406
170,1,25,40.78,81.5,90,0.85,0,Q5,IRF5406-IRF5406
171,1,25,34.91,81.55,-90,0.85,0,Q6,IRF5406-IRF5406
172,1,27,49.3,16.7,90,1.2,0,U1,DRV8818-DRV8818
173,1,27,30.36,16.87,90,1.2,0,U2,DRV8818-DRV8818
174,1,27,11.04,16.77,90,1.2,0,U3,DRV8818-DRV8818
175,1,27,34.86,45.69,0,1.2,0,U4,DRV8818-DRV8818
176,1,26,36.25,62.76,90,1.2,0,IC1,ATmega64M1-TQFP-32_7x7mm
177,1,0,16.99,60.7,0,1.6,0,U5,A4910-A4910-LQFP_48
